City,Country,Region,Carrier company,Customer-Supplier company,Companies Traders,Cargo type,Paper specific,Delivery type
Linz,Austria,Europe,,Leins,VIPA SWITZERLAND,,,
Lithuania,Lithuania,Europe,,Gayatrisha,VIPA INDIA,,,
Livorno,Italy,Europe,,GRUPO CORP,Nikolay Kudryashov,,,
Lodz,Poland,Europe,,TEZOL,VIPA GREECE,,,
London,UK,Europe,,ALVIS,Łukasz Lutoborski,,,
Lubeck,Germany,Europe,,MARFLEX,Łukasz Lutoborski,,,
Lublin,Poland,Europe,,PenzaVtorSyryo,Global Trading,,,
Lucca,Italy,Europe,,Epic,Global Trading,,,
Maaloey,Norway,Europe,,Ekonovus,Karolis Pupinis,,,
Maardu,Estonia,Europe,,kommunar,Global Trading,,,
Mainz,Germany,Europe,,Viborg,Global Trading,,,
Mainz,Germany,Europe,,Sonoco Alcore GR,VIPA GREECE,,,
Malmo,Sweden,Europe,,Plasta UAB,Karolis Pupinis,,,
Malmo,Sweden,Europe,,Familia Columbia,Nikolay Kudryashov,,,
Manila,Philippines,Europe,,FMS USA,VIPA USA,,,
Mantta,Finland,Latam,,Cartopel,Nikolay Kudryashov,,,
Mantta,Finland,Europe,,Empressa Galinda,Juan Quintero,,,
Mantta,Finland,Europe,,Panama Recycling,Juan Quintero,,,
Mantta,Finland,Europe,,Astron,VIPA INDIA,,,
Manzanillo,Panama,Europe,,Sopanusa,VIPA GREECE,,,
Mariestad,Sweden,Latam,,EcologiyaRB,Global Trading,,,
Mariestad,Sweden,Europe,,Barnett Corporation,VIPA USA,,,
Marsaxlokk,Malta,Europe,,Global Trading,Global Trading,,,
Marsberg,Germany,Europe,,Okulovka,Global Trading,,,
Marum,Holland,Europe,,Plastic Chips,Karolis Pupinis,,,
Maykop,Russia,Europe,,Key Waste,VIPA GREECE,,,
Mersin,Turkey,Russia,,Familia Ecuador,Nikolay Kudryashov,,,
Mersin,Turkey,Europe,,Panasa Ecuador,Nikolay Kudryashov,,,
Midlands,UK,Europe,,Goznak,Edward Berjoza,,,
Mombasa,Kenya,Europe,,Familia Colombia,Nikolay Kudryashov,,,
Montevideo,Uruguay,UK,,IP Barashkova,Global Trading,,,
Moscow,Russia,Latam,,Hoang Van,VIPA GREECE,,,
Moscow,Russia,Russia,,EvroVtorTrans,Global Trading,,,
Moss,Norway,Russia,,IP Guryanova,Global Trading,,,
Moss,Norway,Europe,,EcoIndustriya,Global Trading,,,
Mundra,India,Europe,,Balticfloc,Edward Berjoza,,,
Munich,Germany,Asia,,Cappla,Juan Quintero,,,
Naestved,Denmark,Europe,,Metalnevases,Nikolay Kudryashov,,,
Naestved,Denmark,Europe,,Cartorama,Nikolay Kudryashov,,,
Napoli,Italy,Europe,,Repro-PET,Karolis Pupinis,,,
Napoli,Italy,Europe,,PET Baltija,Edward Berjoza,,,
Navegantes,Brazil,Europe,,WRYCZA,Łukasz Lutoborski,,,
North Europe,North Europe,Latam,,VtorSiryo Grozniy,Global Trading,,,
Nhava Sheva,India,Europe,,Plasteco,VIPA GREECE,,,
Nhava Sheva,India,Asia,,Pioneer,VIPA USA,,,
Niemce,Poland,Asia,,Greif,VIPA USA,,,
Ningbo,China,Europe,,4th Generation,VIPA USA,,,
Nokia,Finland,Asia,,Suchi,VIPA INDIA,,,
Norresunby,Denmark,Europe,,Rhin,VIPA SWITZERLAND,,,
Norresunby,Denmark,Europe,,Recimetal,Juan Quintero,,,
Norrkoeping,Sweden,Europe,,Van Rumpt,Nikolay Kudryashov,,,
Norway,Norway,Europe,,Ekorema,Karolis Pupinis,,,
Norwich,UK,Europe,,Eko Partner,Karolis Pupinis,,,
Novorossiysk,Russia,Europe,,Maldis,Karolis Pupinis,,,
